_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	89	"TEST"	11.186	0	0.0567617	0.850793	0	50	0.02	0.02	0	1	0	1	0	0	1.02721	0.860659
_D:	0	90	"TEST"	11.9741	0	0.0589273	0.840514	0	50	0.02	0.02	0	1	0	1	0	0	1.04052	0.857323
_D:	0	91	"TEST"	11.9264	0	0.0587628	0.840545	0	50	0.02	0.02	0	1	0	1	0	0	1.0317	0.850891
_D:	0	92	"TEST"	11.8902	0	0.0584201	0.839218	0	50	0.02	0.02	0	1	0	1	0	0	1.03698	0.854787
_D:	0	93	"TEST"	12.1078	0	0.059046	0.836085	0	50	0.01	0.02	0	1	0	1	0	0	1.03826	0.855938
_D:	0	94	"TEST"	12.0017	0	0.0580272	0.835292	0	50	0.02	0.01	0	1	0	1	0	0	1.0311	0.852127
_D:	0	95	"TEST"	12.0935	0	0.0590186	0.834728	0	50	0.02	0.02	0	1	0	1	0	0	1.03521	0.848033
_D:	0	96	"TEST"	11.1312	0	0.056611	0.850913	0	50	0.02	0.02	0	1	0	1	0	0	1.03609	0.856181
_D:	0	97	"TEST"	11.0027	0	0.0560718	0.854313	0	50	0.02	0.02	0	1	0	1	0	0	1.0202	0.855804
_D:	0	98	"TEST"	11.7569	0	0.0576161	0.839087	0	50	0.02	0.02	0	1	0	1	0	0	1.03928	0.86197
_D:	0	99	"TEST"	11.7624	0	0.0587536	0.843338	0	50	0.01	0.02	0	1	0	1	0	0	1.02279	0.854634
_D:	0	100	"TEST"	11.3311	0	0.0560444	0.847792	0	50	0.02	0.02	0	1	0	1	0	0	1.03369	0.862234
_D:	0	101	"TEST"	11.6877	0	0.058772	0.843058	0	50	0.02	0.02	0	1	0	1	0	0	1.04867	0.862493
_D:	0	102	"TEST"	11.8331	0	0.0585024	0.841265	0	50	0.02	0.01	0	1	0	1	0	0	1.01801	0.852804
_D:	0	103	"TEST"	11.6336	0	0.0573922	0.842624	0	50	0.02	0.02	0	1	0	1	0	0	1.03541	0.857693
_D:	0	104	"TEST"	11.4171	0	0.0568942	0.846445	0	50	0.02	0.02	0	1	0	1	0	0	1.04255	0.863057
_D:	0	105	"TEST"	12.8359	0	0.0612801	0.824826	0	50	0.02	0.02	0	1	0	1	0	0	1.02789	0.854998
_D:	0	106	"TEST"	12.0336	0	0.0582237	0.83538	0	50	0.01	0.02	0	1	0	1	0	0	1.0577	0.859221
_D:	0	107	"TEST"	12.4281	0	0.0598365	0.829205	0	50	0.02	0.02	0	1	0	1	0	0	1.02443	0.850152
