_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_cos_err_prv	%avg_cos_err_vs_prv	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	57	"TRAIN"	12.6003	380	0.0607685	0.829974	0.643354	0.18662	0	50	63.12	84.72	0	1	0	1	0	0	1.04337	0.848444
_D:	0	58	"TRAIN"	12.6036	380	0.0604852	0.830596	0.632856	0.197741	0	50	62.75	84.6	0	1	0	1	0	0	1.02945	0.841696
_D:	0	59	"TRAIN"	12.5897	380	0.0609923	0.831501	0.627291	0.20421	0	50	62.07	84.89	0	1	0	1	0	0	1.02322	0.842314
_D:	0	60	"TRAIN"	12.9203	380	0.0614949	0.825918	0.612719	0.213199	0	50	62.29	84.62	0	1	0	1	0	0	1.02878	0.836339
_D:	0	61	"TRAIN"	13.2797	380	0.0633772	0.821465	0.620755	0.20071	0	50	62.83	85.23	0	1	0	1	0	0	1.02837	0.835047
_D:	0	62	"TRAIN"	12.0185	380	0.0598684	0.838895	0.637573	0.201322	0	50	62.28	84.64	0	1	0	1	0	0	1.03114	0.849678
_D:	0	63	"TRAIN"	13.4724	380	0.0636696	0.815746	0.638895	0.17685	0	50	61.94	84.01	0	1	0	1	0	0	1.01936	0.837264
_D:	0	64	"TRAIN"	12.5012	380	0.062203	0.832237	0.641278	0.190959	0	50	62.3	84.85	0	1	0	1	0	0	1.02014	0.841803
_D:	0	65	"TRAIN"	12.9611	380	0.0633224	0.826673	0.62907	0.197602	0	50	63.21	85.27	0	1	0	1	0	0	1.02828	0.847609
_D:	0	66	"TRAIN"	13.0046	380	0.063135	0.824996	0.626414	0.198582	0	50	62.65	84.82	0	1	0	1	0	0	1.03352	0.845965
_D:	0	67	"TRAIN"	13.182	380	0.0630802	0.824577	0.640356	0.184221	0	50	63.15	84.83	0	1	0	1	0	0	1.00801	0.836714
_D:	0	68	"TRAIN"	12.9382	380	0.0628107	0.825796	0.604282	0.221514	0	50	62.82	85.22	0	1	0	1	0	0	1.03497	0.850096
_D:	0	69	"TRAIN"	12.467	380	0.060138	0.832125	0.627055	0.20507	0	50	62.93	85.05	0	1	0	1	0	0	1.03368	0.849541
_D:	0	70	"TRAIN"	12.2059	380	0.0603619	0.836299	0.627556	0.208744	0	50	62.27	84.71	0	1	0	1	0	0	1.02658	0.84889
_D:	0	71	"TRAIN"	12.2461	380	0.0605309	0.836724	0.623777	0.212947	0	50	62.94	85.41	0	1	0	1	0	0	1.0275	0.851698
_D:	0	72	"TRAIN"	12.45	380	0.0606679	0.831282	0.623793	0.207489	0	50	61.77	84.59	0	1	0	1	0	0	1.03314	0.855822
_D:	0	73	"TRAIN"	12.6068	380	0.0611934	0.828979	0.631118	0.197861	0	50	62.32	84.58	0	1	0	1	0	0	1.01015	0.837431
_D:	0	74	"TRAIN"	12.4403	380	0.0613898	0.833976	0.621506	0.21247	0	50	62.15	84.56	0	1	0	1	0	0	1.01844	0.844768
_D:	0	75	"TRAIN"	12.5779	380	0.0603984	0.83037	0.642697	0.187673	0	50	62.25	84.79	0	1	0	1	0	0	1.0354	0.853312
_D:	0	76	"TRAIN"	12.7691	380	0.0619472	0.828872	0.624966	0.203906	0	50	62.73	85.09	0	1	0	1	0	0	1.04284	0.850489
_D:	0	77	"TRAIN"	12.3873	380	0.0609695	0.834277	0.630402	0.203875	0	50	63.16	85.43	0	1	0	1	0	0	1.01492	0.842279
_D:	0	78	"TRAIN"	12.4052	380	0.0597816	0.831021	0.611604	0.219417	0	50	63.21	85.07	0	1	0	1	0	0	1.03491	0.851441
_D:	0	79	"TRAIN"	11.4325	380	0.0565515	0.84702	0.631558	0.215462	0	50	62.37	84.69	0	1	0	1	0	0	1.03268	0.851201
_D:	0	80	"TRAIN"	13.0071	380	0.061801	0.82288	0.609303	0.213577	0	50	62.08	84.65	0	1	0	1	0	0	1.03662	0.843624
_D:	0	81	"TRAIN"	11.5084	380	0.0570175	0.843917	0.628901	0.215016	0	50	62.66	84.94	0	1	0	1	0	0	1.05396	0.864076
_D:	0	82	"TRAIN"	11.4459	380	0.0566246	0.846459	0.618026	0.228433	0	50	62.95	84.84	0	1	0	1	0	0	1.03865	0.854736
_D:	0	83	"TRAIN"	12.4704	380	0.0607365	0.831397	0.621816	0.209581	0	50	62.59	84.53	0	1	0	1	0	0	1.02087	0.845093
_D:	0	84	"TRAIN"	12.2259	380	0.0592699	0.83273	0.625396	0.207333	0	50	62.83	85.05	0	1	0	1	0	0	1.04203	0.856677
_D:	0	85	"TRAIN"	11.6896	380	0.0578491	0.84143	0.62271	0.218721	0	50	62.9	84.82	0	1	0	1	0	0	1.04214	0.861988
_D:	0	86	"TRAIN"	11.6715	380	0.0581414	0.843937	0.638816	0.205121	0	50	63.22	84.93	0	1	0	1	0	0	1.02564	0.852994
_D:	0	87	"TRAIN"	11.8892	380	0.0585344	0.839292	0.643824	0.195468	0	50	61.53	84.34	0	1	0	1	0	0	1.02183	0.850197
_D:	0	88	"TRAIN"	12.8024	380	0.0610243	0.823556	0.614957	0.2086	0	50	61.82	84.57	0	1	0	1	0	0	1.02283	0.85089
_D:	0	89	"TRAIN"	11.186	380	0.0567617	0.850793	0.630089	0.220704	0	50	63.01	85.29	0	1	0	1	0	0	1.02721	0.860659
_D:	0	90	"TRAIN"	11.9741	380	0.0589273	0.840514	0.644099	0.196415	0	50	62.97	85.1	0	1	0	1	0	0	1.04052	0.857323
_D:	0	91	"TRAIN"	11.9264	380	0.0587628	0.840545	0.616	0.224545	0	50	62.53	84.88	0	1	0	1	0	0	1.0317	0.850891
_D:	0	92	"TRAIN"	11.8902	380	0.0584201	0.839218	0.631268	0.207951	0	50	62.15	84.93	0	1	0	1	0	0	1.03698	0.854787
_D:	0	93	"TRAIN"	12.1078	380	0.059046	0.836085	0.611109	0.224976	0	50	62.49	84.96	0	1	0	1	0	0	1.03826	0.855938
_D:	0	94	"TRAIN"	12.0017	380	0.0580272	0.835292	0.60788	0.227411	0	50	62.28	84.92	0	1	0	1	0	0	1.0311	0.852127
_D:	0	95	"TRAIN"	12.0935	380	0.0590186	0.834728	0.620999	0.21373	0	50	62.27	85.03	0	1	0	1	0	0	1.03521	0.848033
_D:	0	96	"TRAIN"	11.1312	380	0.056611	0.850913	0.628842	0.222071	0	50	62.62	85.17	0	1	0	1	0	0	1.03609	0.856181
_D:	0	97	"TRAIN"	11.0027	380	0.0560718	0.854313	0.646993	0.20732	0	50	62.14	84.94	0	1	0	1	0	0	1.0202	0.855804
_D:	0	98	"TRAIN"	11.7569	380	0.0576161	0.839087	0.619216	0.219871	0	50	63.3	84.9	0	1	0	1	0	0	1.03928	0.86197
_D:	0	99	"TRAIN"	11.7624	380	0.0587536	0.843338	0.630393	0.212945	0	50	63.52	85.6	0	1	0	1	0	0	1.02279	0.854634
_D:	0	100	"TRAIN"	11.3311	380	0.0560444	0.847792	0.634358	0.213434	0	50	61.92	84.67	0	1	0	1	0	0	1.03369	0.862234
_D:	0	101	"TRAIN"	11.6877	380	0.058772	0.843058	0.62147	0.221588	0	50	62.82	85.3	0	1	0	1	0	0	1.04867	0.862493
_D:	0	102	"TRAIN"	11.8331	380	0.0585024	0.841265	0.63475	0.206515	0	50	62.83	84.68	0	1	0	1	0	0	1.01801	0.852804
_D:	0	103	"TRAIN"	11.6336	380	0.0573922	0.842624	0.626587	0.216037	0	50	63.13	84.77	0	1	0	1	0	0	1.03541	0.857693
_D:	0	104	"TRAIN"	11.4171	380	0.0568942	0.846445	0.637961	0.208483	0	50	62.36	85.09	0	1	0	1	0	0	1.04255	0.863057
_D:	0	105	"TRAIN"	12.8359	380	0.0612801	0.824826	0.596049	0.228777	0	50	62.99	84.87	0	1	0	1	0	0	1.02789	0.854998
_D:	0	106	"TRAIN"	12.0336	380	0.0582237	0.83538	0.610527	0.224853	0	50	62.11	84.62	0	1	0	1	0	0	1.0577	0.859221
_D:	0	107	"TRAIN"	12.4281	380	0.0598365	0.829205	0.603941	0.225264	0	50	62.73	85.1	0	1	0	1	0	0	1.02443	0.850152
